code,first_name,second_name,web_name,id,understat
243571,Nathan,Patterson,Patterson,197,10292
495542,Niels,Nkounkou,Nkounkou,198,8109
17761,James,Tarkowski,Tarkowski,199,1665
76357,Tom,Cairney,Cairney,200,6835
82514,Tim,Ream,Ream,201,7184
83543,Anthony,Knockaert,Knockaert,202,4497
89085,Nathaniel,Chalobah,Chalobah,203,1677
92259,Neeskens,Kebano,Kebano,204,6840
96994,Bobby,De Cordova-Reid,De Cordova-Reid,205,6827
101105,Joe,Bryan,Bryan,206,6834
102884,Paulo,Gazzaniga Farias,Gazzaniga,207,973
109434,Terence,Kongolo,Kongolo,208,6067
109646,Tosin,Adarabioyo,Tosin,209,5590
128389,Aleksandar,Mitrović,Mitrović,210,773
153366,Harrison,Reed,Reed,211,910
153682,Harry,Wilson,Wilson,212,5596
155529,Marek,Rodák,Rodák,213,8704
166324,Ivan,Neves Abreu Cavaleiro,Cavaleiro,214,3683
167074,Kenny,Tete,Tete,215,5973
168765,Josh,Onomah,Onomah,216,661
169528,Antonee,Robinson,Robinson,217,8940
244042,Rodrigo,Muniz Carvalho,Muniz,218,0
490146,Jay,Stansfield,Stansfield,219,0
154296,João,Palhinha Gonçalves,Palhinha,220,10715
55914,Liam,Cooper,Cooper,221,8816
66588,Luke,Ayling,Ayling,222,8716
72222,Mateusz,Klich,Klich,223,4381
80179,Adam,Forshaw,Forshaw,224,1711
80954,Rodrigo,Moreno,Rodrigo,225,2381
87873,Stuart,Dallas,Dallas,226,8718
106617,Patrick,Bamford,Bamford,227,822
149915,Diego,Llorente,Llorente,228,2163
173821,Tyler,Roberts,Roberts,229,1014
193645,Robin,Koch,Koch,230,6273
200617,Daniel,James,James,231,5595
219961,Raphael,Dias Belloli,Raphinha,232,8026
221399,Jack,Harrison,Harrison,233,8720
221610,Jamie,Shackleton,Shackleton,234,8721
222694,Pascal,Struijk,Struijk,235,8717
223081,Kristoffer,Klaesson,Klaesson,236,9700
248937,Sam,Greenwood,Greenwood,237,9493
437495,Illan,Meslier,Meslier,238,8715
443967,Junior,Firpo Adames,Firpo,239,6485
450070,Crysencio,Summerville,Summerville,240,9492
450529,Lewis,Bate,Bate,241,8544
462635,Joe,Gelhardt,Gelhardt,242,9339
477547,Leo Fuhr,Hjelde,Hjelde,243,10028
224209,Rasmus,Kristensen,Kristensen,244,10750
234370,Marc,Roca Junqué,Roca,245,5086
427637,Brenden,Aaronson,Aaronson,246,10751
470294,Darko,Gyabi,Gyabi,247,0
17745,Kasper,Schmeichel,Schmeichel,248,745
37642,Jonny,Evans,Evans,249,807
40146,Ryan,Bertrand,Bertrand,250,835
51938,Marc,Albrighton,Albrighton,251,753
86881,Nampalys,Mendy,Mendy,252,1785
93100,Jannik,Vestergaard,Vestergaard,253,111
95463,Danny,Ward,Ward,254,473
101668,Jamie,Vardy,Vardy,255,755
111931,Ricardo,Barbosa Pereira,Ricardo,256,3303
155569,Daniel,Amartey,Amartey,257,759
166477,Timothy,Castagne,Castagne,258,6157
166989,Youri,Tielemans,Tielemans,259,5956
168580,Ayoze,Pérez,Pérez,260,770
172780,James,Maddison,Maddison,261,6818
173515,Kelechi,Iheanacho,Iheanacho,262,620
197469,Hamza,Choudhury,Choudhury,263,6418
201666,Harvey,Barnes,Barnes,264,6681
203341,Wilfred,Ndidi,Ndidi,265,5545
215413,Kiernan,Dewsbury-Hall,Dewsbury-Hall,266,9739
218031,Çaglar,Söyüncü,Söyüncü,267,5264
220627,James,Justin,Justin,268,7753
225902,Boubakary,Soumaré,Soumaré,269,6310
244619,Luke,Thomas,Thomas,270,8562
245419,Patson,Daka,Daka,271,9738
444463,Wesley,Fofana,Fofana,272,7589
232620,Lewis,Brunt,Brunt,273,0
15157,James,Milner,Milner,274,489
56979,Jordan,Henderson,Henderson,275,605
60914,Joel,Matip,Matip,276,332
61558,Thiago,Alcántara do Nascimento,Thiago,277,229
81880,Alex,Oxlade-Chamberlain,Chamberlain,278,966
92217,Roberto,Firmino,Firmino,279,482
97032,Virgil,van Dijk,Van Dijk,280,833
116535,Alisson,Ramses Becker,Alisson,281,1257
116643,Fabio Henrique,Tavares,Fabinho,282,3420
118748,Mohamed,Salah,Salah,283,1250
122798,Andrew,Robertson,Robertson,284,1688
169187,Trent,Alexander-Arnold,Alexander-Arnold,285,1791
171287,Joseph,Gomez,Gomez,286,987
175592,Naby,Keita,Keita,287,5247
194634,Diogo,Teixeira da Silva,Diogo Jota,288,6854
200720,Caoimhin,Kelleher,Kelleher,289,7904
204716,Ibrahima,Konaté,Konaté,290,6326
206915,Curtis,Jones,Jones,291,6665
214285,Konstantinos,Tsimikas,Tsimikas,292,8852
244731,Luis,Díaz,Luis Díaz,293,10408
444884,Harvey,Elliott,Elliott,294,7546
215136,Neco,Williams,N.Williams,295,8204
244858,Fábio,Freitas Gouveia Carvalho,Carvalho,296,9501
447203,Darwin,Núñez Ribeiro,Darwin,297,10720
489580,Calvin,Ramsay,Ramsay,298,0
58621,Kyle,Walker,Walker,299,638
59859,Ilkay,Gündogan,Gündogan,300,314
61366,Kevin,De Bruyne,De Bruyne,301,447
97299,John,Stones,Stones,302,586
103025,Riyad,Mahrez,Mahrez,303,750
103955,Raheem,Sterling,Sterling,304,618
114283,Jack,Grealish,Grealish,305,675
121145,João,Cancelo,Cancelo,306,2379
121160,Ederson,Santana de Moraes,Ederson,307,6054
126184,Nathan,Aké,Aké,308,579
146941,Aymeric,Laporte,Laporte,309,2498
164484,Zack,Steffen,Steffen,310,7817
165809,Bernardo,Veiga de Carvalho e Silva,Bernardo,311,3635
171314,Rúben,Gato Alves Dias,Dias,312,8961
206325,Oleksandr,Zinchenko,Zinchenko,313,2958
209244,Phil,Foden,Foden,314,6055
220566,Rodrigo,Hernandez,Rodri,315,2496
244851,Cole,Palmer,Palmer,316,8497
432714,James,McAtee,McAtee,317,10126
223094,Erling,Håland,Haaland,318,8260
